athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Matej BALUCH,SVK,men_400h,2023,49.56,49.56,0.0,2,0.3041,0.0,22.6
Craig SADDLER,USA,men_400h,2023,49.57,49.57,0.0,3,0.135,0.0,
Hiroya KAWAGOE,JPN,men_400h,2021,49.76,49.58,0.18,2,0.1061,0.0,24.7
Hiroya KAWAGOE,JPN,men_400h,2022,49.58,49.58,0.0,3,0.1656,0.18,24.7
Colten YARDLEY,USA,men_400h,2022,49.6,49.6,0.0,3,0.13,0.0,
Marvin WILLIAMS,JAM,men_400h,2022,49.6,49.6,0.0,2,0.0636,0.0,26.0
Juander SANTOS,DOM,men_400h,2022,49.61,49.61,0.0,3,0.1769,0.0,27.1
Juander SANTOS,DOM,men_400h,2023,49.93,49.61,0.32,1,0.0,-0.32,27.1
Bienvenu SAWADOGO,BUR,men_400h,2022,49.61,49.61,0.0,1,0.0,0.0,27.0
Bienvenu SAWADOGO,BUR,men_400h,2023,49.96,49.61,0.35,1,0.0,-0.35,27.0
Shinnosuke YAMASHINA,JPN,men_400h,2023,49.61,49.61,0.0,1,0.0,0.0,21.3
Denis NOVOSELTSEV,ANA,men_400h,2021,49.62,49.62,0.0,1,0.0,0.0,17.9
Le Roux HAMMAN,RSA,men_400h,2021,49.63,49.63,0.0,6,0.0898,0.0,29.4
Rivaldo LEACOCK,BAR,men_400h,2022,49.63,49.63,0.0,2,0.1626,0.0,23.8
Rivaldo LEACOCK,BAR,men_400h,2023,49.91,49.63,0.28,1,0.0,-0.28,23.8
Sabelo DHLAMINI,RSA,men_400h,2022,49.89,49.63,0.26,1,0.0,0.0,27.7
Sabelo DHLAMINI,RSA,men_400h,2023,49.63,49.63,0.0,1,0.0,0.26,27.7
Takafumi IWASAKI,JPN,men_400h,2021,49.64,49.64,0.0,2,0.0636,0.0,23.4
Zhiqiang FENG,CHN,men_400h,2023,49.64,49.64,0.0,1,0.0,0.0,25.2
Clement DUCOS,FRA,men_400h,2022,49.65,49.65,0.0,2,0.0778,0.0,21.4
Clement DUCOS,FRA,men_400h,2023,49.68,49.65,0.03,1,0.0,-0.03,21.4
Jiahui SONG,CHN,men_400h,2022,49.65,49.65,0.0,1,0.0,0.0,21.0
Jiahui SONG,CHN,men_400h,2023,49.93,49.65,0.28,1,0.0,-0.28,21.0
Lázaro T. RODRÍGUEZ,CUB,men_400h,2022,49.66,49.66,0.0,3,0.171,0.0,22.9
Shuta NAKAI,JPN,men_400h,2023,49.66,49.66,0.0,1,0.0,0.0,21.4
Jabir MADARI PALLIYALIL,IND,men_400h,2021,49.78,49.67,0.11,1,0.0,0.0,26.2
Jabir MADARI PALLIYALIL,IND,men_400h,2022,49.67,49.67,0.0,2,0.0636,0.11,26.2
Jabir MADARI PALLIYALIL,IND,men_400h,2023,49.99,49.67,0.32,1,0.0,-0.32,26.2
Bassem HEMEIDA,QAT,men_400h,2022,49.68,49.68,0.0,4,0.1654,0.0,22.2
Bassem HEMEIDA,QAT,men_400h,2023,49.68,49.68,0.0,2,0.2121,0.0,22.2
Aleix PORRAS,ESP,men_400h,2022,49.68,49.68,0.0,1,0.0,0.0,22.8
Sebastian URBANIAK,POL,men_400h,2022,49.68,49.68,0.0,4,0.1005,0.0,21.1
Jamal BRITT,USA,men_400h,2021,49.69,49.69,0.0,2,0.0071,0.0,22.4
Timothy EMOGHENE,NGR,men_400h,2021,49.69,49.69,0.0,1,0.0,0.0,23.6
