venue,place,country,lat,lon,elevation_m,rows
"Arena Birmingham, Birmingham (GBR) (i)",Birmingham,,52.48142,-1.89983,151.0,26
"Estadio Enrique Lopez Cuenca, Nerja (ESP)",Nerja,ESP,36.75278,-3.8744,55.0,26
"Nashville, TN (USA)",Nashville,USA,36.16589,-86.78444,158.0,26
"Loftus Sports Center, Notre Dame, IN (USA) (i)",,,,,,26
"Centro Nacional de Lançamentos, Leiria (POR)",Leiria,POR,39.74362,-8.80705,32.0,26
"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",,,,,,26
"Atletska dvorana, Beograd (SRB) (i)",,,,,,26
Marseille (FRA),Marseille,FRA,43.29695,5.38107,30.0,25
"Charlottesville, VA (USA)",Charlottesville,USA,38.02931,-78.47668,151.0,25
"Sportcity Regional Arena, Manchester (GBR)",Manchester,GBR,53.48095,-2.23743,48.0,25
"Stadion Manfort, Leverkusen (GER)",Leverkusen,GER,51.0303,6.98432,50.0,25
"Leichtathletikarena, Eisenstadt (AUT)",Eisenstadt,AUT,47.84565,16.52327,184.0,25
"Spec Towns Track, Athens, GA (USA)",Athens,USA,33.96095,-83.37794,224.0,25
"Long Beach, CA (USA)",Long Beach,USA,33.76696,-118.18923,14.0,25
"Sollentunavallen, Sollentuna (SWE)",Sollentuna,SWE,59.42804,17.95093,22.0,25
"College Station, TX (USA) (i)",,,,,,25
"Atletický stadion města Plzně, Plzeň (CZE)",Plzeň,CZE,49.67517,13.27462,354.0,25
"University of Ghana Sports Stadium, Accra (GHA)",Accra,GHA,5.55602,-0.1969,28.0,25
"Slottsskogsvallen, Göteborg (SWE)",Göteborg,SWE,57.70716,11.96679,9.0,25
Leiria (POR),Leiria,POR,39.74362,-8.80705,32.0,25
"Waco, TX (USA)",Waco,USA,31.54933,-97.14667,148.0,24
Doha (QAT),Doha,QAT,25.28545,51.53096,2.0,24
"Montverde Academy, Montverde, FL (USA)",Montverde,USA,28.60028,-81.67396,34.0,24
"Sichuan Xipu Training Base, Chengdu (CHN)",Chengdu,CHN,30.66667,104.06667,494.0,24
"Alfonso Galvis Duque Stadium, Medellín (COL)",Medellín,COL,6.245,-75.57151,1473.0,24
Liège (BEL),Liège,BEL,50.63373,5.56749,68.0,24
"Gunder Hägg Stadion, Gävle (SWE)",Gävle,SWE,60.67452,17.14174,14.0,24
"Life University Track & Field Stadium, Marietta, GA (USA)",Marietta,USA,33.9526,-84.54993,345.0,24
"Boston, MA (USA) (i)",,,,,,24
"AIS Athletics Track, Canberra (AUS)",Canberra,AUS,-35.28346,149.12807,568.0,24
"Atletická hala, Ostrava (CZE) (i)",Ostrava,,49.83465,18.28204,217.0,24
"Jack Rose Track, Long Beach, CA (USA)",Long Beach,USA,33.76696,-118.18923,14.0,24
"Harjun stadion, Jyväskylä (FIN)",Jyväskylä,FIN,62.24147,25.72088,118.0,23
"Morton Stadium, Santry, Dublin (IRL)",Dublin,IRL,53.33306,-6.24889,14.0,23
